Date,Product Name,Category,Opening Stock,Purchase Quantity,Units Sold,Closing Stock,Purchase Price,Sale Price,Supplier Name
2026-04-15,Fashion Handbag,Accessories,95,11,5,101,344,460.67,Urban Stitch Pvt Ltd
2026-04-15,Printed Scarf,Accessories,82,5,4,83,591,753.22,BlueLeaf Wholesale
2026-04-15,Silver Earrings,Accessories,78,39,34,83,277,416.03,BlueLeaf Wholesale
2026-04-15,Sports Cap,Accessories,77,28,35,70,568,774.85,Mahalaxmi Traders
2026-04-15,Running Shoes,Footwear,88,31,39,80,1361,2017.99,Vardhan Apparels
2026-04-15,Casual Sandals,Footwear,110,38,35,113,1665,2256.63,Mahalaxmi Traders
2026-04-15,Formal Shoes,Footwear,117,7,2,122,1380,2104.52,Royal Fabrics
2026-04-15,Women's Heels,Footwear,105,10,12,103,1405,2088.49,BlueLeaf Wholesale
2026-04-15,Flip Flops,Footwear,119,35,33,121,673,908.1,BlueLeaf Wholesale
2026-04-15,Winter Hoodie,Men's Wear,65,0,0,65,1571,2087.27,Surya Textiles
2026-04-15,Heavy Bridal Lehenga,Women's Wear,118,7,0,125,1302,2075.88,Royal Fabrics
2026-04-15,Woolen Shawl,Women's Wear,89,6,0,95,1096,1645.56,Mahalaxmi Traders
2026-04-15,Party Clutch,Accessories,40,6,0,46,301,445.37,Mahalaxmi Traders
2026-04-15,Leather Boots,Footwear,106,0,3,103,860,1317.04,Vardhan Apparels
2026-04-22,Classic Cotton Shirt,Men's Wear,55,28,32,51,1320,2073.87,Royal Fabrics
2026-04-22,Slim Fit Jeans,Men's Wear,116,48,28,136,2475,3949.51,Vardhan Apparels
2026-04-22,Linen Kurta,Men's Wear,110,30,32,108,2367,3312.28,BlueLeaf Wholesale
2026-04-22,Formal Trousers,Men's Wear,71,20,9,82,2244,3158.48,BlueLeaf Wholesale
2026-04-22,Graphic T-Shirt,Men's Wear,49,38,40,47,1279,1721.67,Mahalaxmi Traders
2026-04-22,Silk Saree,Women's Wear,109,9,6,112,1412,1930.98,Mahalaxmi Traders
2026-04-22,Floral Kurti,Women's Wear,59,46,31,74,1247,1725.93,Royal Fabrics
2026-04-22,Leggings Pack,Women's Wear,93,33,19,107,1655,2383.06,Royal Fabrics
2026-04-22,Designer Blouse,Women's Wear,114,9,0,123,1895,2968.88,Royal Fabrics
2026-04-22,Denim Jacket,Women's Wear,85,44,27,102,2253,2820.9,Royal Fabrics
2026-04-22,Kids Cartoon T-Shirt,Kids Wear,74,51,31,94,1203,1709.32,Surya Textiles
2026-04-22,School Uniform Set,Kids Wear,91,30,41,80,1892,2587.58,Royal Fabrics
2026-04-22,Kids Ethnic Wear,Kids Wear,108,17,5,120,822,1309.65,Vardhan Apparels
2026-04-22,Baby Romper,Kids Wear,94,49,22,121,411,525.83,Mahalaxmi Traders
2026-04-22,Kids Sneakers,Kids Wear,81,49,24,106,505,677.23,Urban Stitch Pvt Ltd
2026-04-22,Leather Belt,Accessories,88,18,9,97,495,750.63,Urban Stitch Pvt Ltd
2026-04-22,Fashion Handbag,Accessories,109,16,5,120,233,329.6,Mahalaxmi Traders
2026-04-22,Printed Scarf,Accessories,45,3,0,48,220,335.15,Mahalaxmi Traders
2026-04-22,Silver Earrings,Accessories,70,50,22,98,170,249.47,BlueLeaf Wholesale
2026-04-22,Sports Cap,Accessories,67,36,32,71,267,386.45,Urban Stitch Pvt Ltd
2026-04-22,Running Shoes,Footwear,54,30,42,42,843,1232.52,Urban Stitch Pvt Ltd
2026-04-22,Casual Sandals,Footwear,79,44,56,67,721,1047.28,Royal Fabrics
2026-04-22,Formal Shoes,Footwear,120,1,1,120,906,1156.6,BlueLeaf Wholesale
2026-04-22,Women's Heels,Footwear,116,6,6,116,1117,1728.67,Urban Stitch Pvt Ltd
2026-04-22,Flip Flops,Footwear,87,41,43,85,1591,2227.29,Surya Textiles
2026-04-22,Winter Hoodie,Men's Wear,53,5,0,58,2020,3106.39,BlueLeaf Wholesale
2026-04-22,Heavy Bridal Lehenga,Women's Wear,95,8,1,102,2183,3269.17,BlueLeaf Wholesale
2026-04-22,Woolen Shawl,Women's Wear,108,7,0,115,1406,2060.59,Royal Fabrics
2026-04-22,Party Clutch,Accessories,71,4,0,75,756,1016.02,Royal Fabrics
2026-04-22,Leather Boots,Footwear,112,10,4,118,999,1511.15,Royal Fabrics
