Product Name,Category,Units Sold,Opening Stock,Closing Stock,Purchase Price,Sale Price,Date
Casual Shirt,Men's Wear,5,69,64,500,799,2025-01-08
Formal Trousers,Men's Wear,0,69,69,900,1049,2025-01-08
Graphic T-Shirt,Men's Wear,4,100,96,300,499,2025-01-08
Kids Frock,Kids Wear,3,68,65,280,449,2025-01-08
School Shorts,Kids Wear,6,74,68,180,299,2025-01-08
Kids Hoodie,Kids Wear,4,39,35,450,649,2025-01-08
Running Shoes,Footwear,1,63,62,1200,1599,2025-01-08
Casual Sandals,Footwear,3,63,60,500,699,2025-01-08
Leather Belt,Accessories,0,62,62,250,289,2025-01-08
Fashion Scarf,Accessories,1,50,49,180,299,2025-01-08
Baseball Cap,Accessories,4,50,46,160,229,2025-01-08
Silver Anklet,Accessories,0,48,48,350,549,2025-01-08
Floral Kurti,Women's Wear,8,36,127,350,599,2025-01-09
Leggings Pack,Women's Wear,9,102,93,220,349,2025-01-09
Cotton Saree,Women's Wear,3,54,51,700,999,2025-01-09
Casual Shirt,Men's Wear,7,64,57,500,799,2025-01-09
Formal Trousers,Men's Wear,0,69,69,900,1049,2025-01-09
Graphic T-Shirt,Men's Wear,4,96,92,300,499,2025-01-09
Kids Frock,Kids Wear,3,65,62,280,449,2025-01-09
School Shorts,Kids Wear,6,68,62,180,299,2025-01-09
Kids Hoodie,Kids Wear,2,35,33,450,649,2025-01-09
Running Shoes,Footwear,1,62,61,1200,1599,2025-01-09
Casual Sandals,Footwear,3,60,57,500,699,2025-01-09
Leather Belt,Accessories,0,62,62,250,289,2025-01-09
Fashion Scarf,Accessories,0,49,49,180,299,2025-01-09
Baseball Cap,Accessories,2,46,44,160,229,2025-01-09
Silver Anklet,Accessories,2,48,46,350,549,2025-01-09
Floral Kurti,Women's Wear,10,127,117,350,599,2025-01-10
Leggings Pack,Women's Wear,16,93,77,220,349,2025-01-10
Cotton Saree,Women's Wear,2,51,49,700,999,2025-01-10
Casual Shirt,Men's Wear,5,57,52,500,799,2025-01-10
Formal Trousers,Men's Wear,0,69,69,900,1049,2025-01-10
Graphic T-Shirt,Men's Wear,8,92,84,300,499,2025-01-10
Kids Frock,Kids Wear,3,62,59,280,449,2025-01-10
School Shorts,Kids Wear,5,62,57,180,299,2025-01-10
Kids Hoodie,Kids Wear,2,33,31,450,649,2025-01-10
Running Shoes,Footwear,3,61,58,1200,1599,2025-01-10
Casual Sandals,Footwear,5,57,52,500,699,2025-01-10
Leather Belt,Accessories,0,62,62,250,289,2025-01-10
Fashion Scarf,Accessories,0,49,49,180,299,2025-01-10
Baseball Cap,Accessories,1,44,43,160,229,2025-01-10
Silver Anklet,Accessories,0,46,46,350,549,2025-01-10
Floral Kurti,Women's Wear,8,117,109,350,599,2025-01-11
Leggings Pack,Women's Wear,13,77,64,220,349,2025-01-11
Cotton Saree,Women's Wear,5,49,44,700,999,2025-01-11
Casual Shirt,Men's Wear,3,52,49,500,799,2025-01-11
Formal Trousers,Men's Wear,0,69,69,900,1049,2025-01-11
Graphic T-Shirt,Men's Wear,3,84,81,300,499,2025-01-11
Kids Frock,Kids Wear,4,59,55,280,449,2025-01-11
School Shorts,Kids Wear,8,57,49,180,299,2025-01-11
Kids Hoodie,Kids Wear,5,31,26,450,649,2025-01-11
Running Shoes,Footwear,4,58,54,1200,1599,2025-01-11
Casual Sandals,Footwear,5,52,47,500,699,2025-01-11
Leather Belt,Accessories,2,62,60,250,289,2025-01-11
Fashion Scarf,Accessories,0,49,49,180,299,2025-01-11
Baseball Cap,Accessories,5,43,38,160,229,2025-01-11
Silver Anklet,Accessories,0,46,46,350,549,2025-01-11
Floral Kurti,Women's Wear,8,109,101,350,599,2025-01-12
Leggings Pack,Women's Wear,10,64,54,220,349,2025-01-12
Cotton Saree,Women's Wear,4,44,40,700,999,2025-01-12
Casual Shirt,Men's Wear,4,49,45,500,799,2025-01-12
Formal Trousers,Men's Wear,0,69,69,900,1049,2025-01-12
Graphic T-Shirt,Men's Wear,5,81,76,300,499,2025-01-12
Kids Frock,Kids Wear,3,55,52,280,449,2025-01-12
School Shorts,Kids Wear,4,49,45,180,299,2025-01-12
Kids Hoodie,Kids Wear,4,26,22,450,649,2025-01-12
Running Shoes,Footwear,1,54,53,1200,1599,2025-01-12
Casual Sandals,Footwear,1,47,46,500,699,2025-01-12
Leather Belt,Accessories,0,60,60,250,289,2025-01-12
Fashion Scarf,Accessories,0,49,49,180,299,2025-01-12
Baseball Cap,Accessories,3,38,35,160,229,2025-01-12
Silver Anklet,Accessories,0,46,46,350,549,2025-01-12
Floral Kurti,Women's Wear,8,101,93,350,599,2025-01-13
Leggings Pack,Women's Wear,12,54,42,220,349,2025-01-13
Cotton Saree,Women's Wear,3,40,37,700,999,2025-01-13
Casual Shirt,Men's Wear,7,45,38,500,799,2025-01-13
Formal Trousers,Men's Wear,2,69,67,900,1049,2025-01-13
Graphic T-Shirt,Men's Wear,3,76,73,300,499,2025-01-13
Kids Frock,Kids Wear,2,52,50,280,449,2025-01-13
School Shorts,Kids Wear,4,45,41,180,299,2025-01-13
Kids Hoodie,Kids Wear,4,22,18,450,649,2025-01-13
Running Shoes,Footwear,3,53,50,1200,1599,2025-01-13
Casual Sandals,Footwear,4,46,42,500,699,2025-01-13
Leather Belt,Accessories,2,60,58,250,289,2025-01-13
Fashion Scarf,Accessories,2,49,47,180,299,2025-01-13
Baseball Cap,Accessories,3,35,32,160,229,2025-01-13
Silver Anklet,Accessories,1,46,45,350,549,2025-01-13
Floral Kurti,Women's Wear,11,93,82,350,599,2025-01-14
Leggings Pack,Women's Wear,12,42,164,220,349,2025-01-14
Cotton Saree,Women's Wear,3,37,34,700,999,2025-01-14
Casual Shirt,Men's Wear,7,38,126,500,799,2025-01-14
Formal Trousers,Men's Wear,0,67,67,900,1049,2025-01-14
Graphic T-Shirt,Men's Wear,5,73,68,300,499,2025-01-14
Kids Frock,Kids Wear,1,50,49,280,449,2025-01-14
School Shorts,Kids Wear,3,41,38,180,299,2025-01-14
Kids Hoodie,Kids Wear,3,18,15,450,649,2025-01-14
Running Shoes,Footwear,1,50,49,1200,1599,2025-01-14
Casual Sandals,Footwear,3,42,39,500,699,2025-01-14
Leather Belt,Accessories,1,58,57,250,289,2025-01-14
Fashion Scarf,Accessories,0,47,47,180,299,2025-01-14
Baseball Cap,Accessories,2,32,30,160,229,2025-01-14
Silver Anklet,Accessories,2,45,43,350,549,2025-01-14
Floral Kurti,Women's Wear,13,82,69,350,599,2025-01-15
Leggings Pack,Women's Wear,9,164,155,220,349,2025-01-15
Cotton Saree,Women's Wear,4,34,30,700,999,2025-01-15
Casual Shirt,Men's Wear,3,126,123,500,799,2025-01-15
Formal Trousers,Men's Wear,0,67,67,900,1049,2025-01-15
Graphic T-Shirt,Men's Wear,3,68,65,300,499,2025-01-15
Kids Frock,Kids Wear,4,49,45,280,449,2025-01-15
School Shorts,Kids Wear,7,38,31,180,299,2025-01-15
Kids Hoodie,Kids Wear,4,15,11,450,649,2025-01-15
Running Shoes,Footwear,2,49,47,1200,1599,2025-01-15
Casual Sandals,Footwear,3,39,36,500,699,2025-01-15
Leather Belt,Accessories,2,57,55,250,289,2025-01-15
Fashion Scarf,Accessories,0,47,47,180,299,2025-01-15
Baseball Cap,Accessories,3,30,27,160,229,2025-01-15
Silver Anklet,Accessories,0,43,43,350,549,2025-01-15
Floral Kurti,Women's Wear,13,69,56,350,599,2025-01-16
Leggings Pack,Women's Wear,10,155,145,220,349,2025-01-16
Cotton Saree,Women's Wear,1,30,29,700,999,2025-01-16
Casual Shirt,Men's Wear,5,123,118,500,799,2025-01-16
Formal Trousers,Men's Wear,2,67,65,900,1049,2025-01-16
Graphic T-Shirt,Men's Wear,7,65,58,300,499,2025-01-16
Kids Frock,Kids Wear,2,45,43,280,449,2025-01-16
School Shorts,Kids Wear,6,31,25,180,299,2025-01-16
Kids Hoodie,Kids Wear,1,11,10,450,649,2025-01-16
Running Shoes,Footwear,1,47,46,1200,1599,2025-01-16
Casual Sandals,Footwear,1,36,35,500,699,2025-01-16
Leather Belt,Accessories,0,55,55,250,289,2025-01-16
Fashion Scarf,Accessories,0,47,47,180,299,2025-01-16
Baseball Cap,Accessories,1,27,26,160,229,2025-01-16
Silver Anklet,Accessories,0,43,43,350,549,2025-01-16
Floral Kurti,Women's Wear,13,56,43,350,599,2025-01-17
Leggings Pack,Women's Wear,13,145,132,220,349,2025-01-17
Cotton Saree,Women's Wear,3,29,26,700,999,2025-01-17
Casual Shirt,Men's Wear,3,118,115,500,799,2025-01-17
Formal Trousers,Men's Wear,0,65,65,900,1049,2025-01-17
Graphic T-Shirt,Men's Wear,5,58,53,300,499,2025-01-17
Kids Frock,Kids Wear,4,43,39,280,449,2025-01-17
School Shorts,Kids Wear,4,25,21,180,299,2025-01-17
Kids Hoodie,Kids Wear,2,10,8,450,649,2025-01-17
Running Shoes,Footwear,2,46,44,1200,1599,2025-01-17
Casual Sandals,Footwear,2,35,33,500,699,2025-01-17
Leather Belt,Accessories,0,55,55,250,289,2025-01-17
Fashion Scarf,Accessories,2,47,45,180,299,2025-01-17
Baseball Cap,Accessories,3,26,23,160,229,2025-01-17
Silver Anklet,Accessories,0,43,43,350,549,2025-01-17
Floral Kurti,Women's Wear,15,43,132,350,599,2025-01-18
Leggings Pack,Women's Wear,14,132,118,220,349,2025-01-18
Cotton Saree,Women's Wear,1,26,25,700,999,2025-01-18
Casual Shirt,Men's Wear,6,115,109,500,799,2025-01-18
Formal Trousers,Men's Wear,2,65,63,900,1049,2025-01-18
Graphic T-Shirt,Men's Wear,7,53,46,300,499,2025-01-18
Kids Frock,Kids Wear,2,39,37,280,449,2025-01-18
School Shorts,Kids Wear,4,21,17,180,299,2025-01-18
Kids Hoodie,Kids Wear,4,8,4,450,649,2025-01-18
Running Shoes,Footwear,3,44,41,1200,1599,2025-01-18
Casual Sandals,Footwear,1,33,32,500,699,2025-01-18
Leather Belt,Accessories,0,55,55,250,289,2025-01-18
Fashion Scarf,Accessories,0,45,45,180,299,2025-01-18
Baseball Cap,Accessories,4,23,19,160,229,2025-01-18
Silver Anklet,Accessories,0,43,43,350,549,2025-01-18
Floral Kurti,Women's Wear,9,132,123,350,599,2025-01-19
Leggings Pack,Women's Wear,9,118,109,220,349,2025-01-19
Cotton Saree,Women's Wear,3,25,22,700,999,2025-01-19
Casual Shirt,Men's Wear,4,109,105,500,799,2025-01-19
Formal Trousers,Men's Wear,2,63,61,900,1049,2025-01-19
Graphic T-Shirt,Men's Wear,3,46,43,300,499,2025-01-19
Kids Frock,Kids Wear,2,37,35,280,449,2025-01-19
School Shorts,Kids Wear,4,17,13,180,299,2025-01-19
Kids Hoodie,Kids Wear,4,4,0,450,649,2025-01-19
Running Shoes,Footwear,3,41,38,1200,1599,2025-01-19
Casual Sandals,Footwear,4,32,28,500,699,2025-01-19
Leather Belt,Accessories,0,55,55,250,289,2025-01-19
Fashion Scarf,Accessories,0,45,45,180,299,2025-01-19
Baseball Cap,Accessories,3,19,16,160,229,2025-01-19
Silver Anklet,Accessories,0,43,43,350,549,2025-01-19
Floral Kurti,Women's Wear,13,123,110,350,599,2025-01-20
Leggings Pack,Women's Wear,11,109,98,220,349,2025-01-20
Cotton Saree,Women's Wear,2,22,20,700,999,2025-01-20
Casual Shirt,Men's Wear,5,105,100,500,799,2025-01-20
Formal Trousers,Men's Wear,0,61,61,900,1049,2025-01-20
Graphic T-Shirt,Men's Wear,7,43,36,300,499,2025-01-20
Kids Frock,Kids Wear,1,35,34,280,449,2025-01-20
School Shorts,Kids Wear,4,13,9,180,299,2025-01-20
Kids Hoodie,Kids Wear,0,0,0,450,649,2025-01-20
Running Shoes,Footwear,4,38,34,1200,1599,2025-01-20
Casual Sandals,Footwear,3,28,25,500,699,2025-01-20
Leather Belt,Accessories,0,55,55,250,289,2025-01-20
Fashion Scarf,Accessories,0,45,45,180,299,2025-01-20
Baseball Cap,Accessories,3,16,13,160,229,2025-01-20
Silver Anklet,Accessories,0,43,43,350,549,2025-01-20
Floral Kurti,Women's Wear,7,110,103,350,599,2025-01-21
Leggings Pack,Women's Wear,8,98,90,220,349,2025-01-21
Cotton Saree,Women's Wear,1,20,19,700,999,2025-01-21
Casual Shirt,Men's Wear,6,100,94,500,799,2025-01-21
Formal Trousers,Men's Wear,0,61,61,900,1049,2025-01-21
Graphic T-Shirt,Men's Wear,3,36,149,300,499,2025-01-21
Kids Frock,Kids Wear,3,34,31,280,449,2025-01-21
School Shorts,Kids Wear,4,9,5,180,299,2025-01-21
Kids Hoodie,Kids Wear,0,0,0,450,649,2025-01-21
Running Shoes,Footwear,2,34,32,1200,1599,2025-01-21
Casual Sandals,Footwear,4,25,21,500,699,2025-01-21
Leather Belt,Accessories,0,55,55,250,289,2025-01-21
Fashion Scarf,Accessories,1,45,44,180,299,2025-01-21
Baseball Cap,Accessories,3,13,10,160,229,2025-01-21
Silver Anklet,Accessories,2,43,41,350,549,2025-01-21
Floral Kurti,Women's Wear,10,103,93,350,599,2025-01-22
Leggings Pack,Women's Wear,8,90,82,220,349,2025-01-22
Cotton Saree,Women's Wear,2,19,17,700,999,2025-01-22
Casual Shirt,Men's Wear,3,94,91,500,799,2025-01-22
Formal Trousers,Men's Wear,0,61,61,900,1049,2025-01-22
Graphic T-Shirt,Men's Wear,7,149,142,300,499,2025-01-22
Kids Frock,Kids Wear,3,31,28,280,449,2025-01-22
School Shorts,Kids Wear,5,5,0,180,299,2025-01-22
Kids Hoodie,Kids Wear,0,0,0,450,649,2025-01-22
Running Shoes,Footwear,4,32,28,1200,1599,2025-01-22
Casual Sandals,Footwear,4,21,17,500,699,2025-01-22
Leather Belt,Accessories,0,55,55,250,289,2025-01-22
Fashion Scarf,Accessories,0,44,44,180,299,2025-01-22
Baseball Cap,Accessories,2,10,8,160,229,2025-01-22
Silver Anklet,Accessories,0,41,41,350,549,2025-01-22
Floral Kurti,Women's Wear,9,93,84,350,599,2025-01-23
Leggings Pack,Women's Wear,10,82,72,220,349,2025-01-23
Cotton Saree,Women's Wear,3,17,14,700,999,2025-01-23
Casual Shirt,Men's Wear,4,91,87,500,799,2025-01-23
Formal Trousers,Men's Wear,0,61,61,900,1049,2025-01-23
Graphic T-Shirt,Men's Wear,3,142,139,300,499,2025-01-23
Kids Frock,Kids Wear,3,28,25,280,449,2025-01-23
School Shorts,Kids Wear,0,0,0,180,299,2025-01-23
Kids Hoodie,Kids Wear,0,0,0,450,649,2025-01-23
Running Shoes,Footwear,3,28,25,1200,1599,2025-01-23
Casual Sandals,Footwear,3,17,14,500,699,2025-01-23
Leather Belt,Accessories,0,55,55,250,289,2025-01-23
Fashion Scarf,Accessories,2,44,42,180,299,2025-01-23
Baseball Cap,Accessories,3,8,5,160,229,2025-01-23
Silver Anklet,Accessories,2,41,39,350,549,2025-01-23
Floral Kurti,Women's Wear,14,84,70,350,599,2025-01-24
Leggings Pack,Women's Wear,10,72,62,220,349,2025-01-24
Cotton Saree,Women's Wear,3,14,11,700,999,2025-01-24
Casual Shirt,Men's Wear,7,87,80,500,799,2025-01-24
Formal Trousers,Men's Wear,0,61,61,900,1049,2025-01-24
Graphic T-Shirt,Men's Wear,5,139,134,300,499,2025-01-24
Kids Frock,Kids Wear,3,25,22,280,449,2025-01-24
School Shorts,Kids Wear,0,0,0,180,299,2025-01-24
Kids Hoodie,Kids Wear,0,0,0,450,649,2025-01-24
Running Shoes,Footwear,4,25,21,1200,1599,2025-01-24
Casual Sandals,Footwear,1,14,13,500,699,2025-01-24
Leather Belt,Accessories,2,55,53,250,289,2025-01-24
Fashion Scarf,Accessories,0,42,42,180,299,2025-01-24
Baseball Cap,Accessories,3,5,2,160,229,2025-01-24
Silver Anklet,Accessories,0,39,39,350,549,2025-01-24
Floral Kurti,Women's Wear,12,70,58,350,599,2025-01-25
Leggings Pack,Women's Wear,11,62,51,220,349,2025-01-25
Cotton Saree,Women's Wear,4,11,7,700,999,2025-01-25
Casual Shirt,Men's Wear,8,80,72,500,799,2025-01-25
Formal Trousers,Men's Wear,0,61,61,900,1049,2025-01-25
Graphic T-Shirt,Men's Wear,6,134,128,300,499,2025-01-25
Kids Frock,Kids Wear,1,22,21,280,449,2025-01-25
School Shorts,Kids Wear,0,0,0,180,299,2025-01-25
Kids Hoodie,Kids Wear,0,0,0,450,649,2025-01-25
Running Shoes,Footwear,3,21,18,1200,1599,2025-01-25
Casual Sandals,Footwear,2,13,11,500,699,2025-01-25
Leather Belt,Accessories,0,53,53,250,289,2025-01-25
Fashion Scarf,Accessories,2,42,40,180,299,2025-01-25
Baseball Cap,Accessories,1,2,1,160,229,2025-01-25
Silver Anklet,Accessories,0,39,39,350,549,2025-01-25
Floral Kurti,Women's Wear,8,58,50,350,599,2025-01-26
Leggings Pack,Women's Wear,7,51,44,220,349,2025-01-26
Cotton Saree,Women's Wear,1,7,6,700,999,2025-01-26
Casual Shirt,Men's Wear,6,72,66,500,799,2025-01-26
Formal Trousers,Men's Wear,0,61,61,900,1049,2025-01-26
Graphic T-Shirt,Men's Wear,7,128,121,300,499,2025-01-26
Kids Frock,Kids Wear,3,21,18,280,449,2025-01-26
School Shorts,Kids Wear,0,0,0,180,299,2025-01-26
Kids Hoodie,Kids Wear,0,0,0,450,649,2025-01-26
Running Shoes,Footwear,4,18,14,1200,1599,2025-01-26
Casual Sandals,Footwear,2,11,9,500,699,2025-01-26
Leather Belt,Accessories,0,53,53,250,289,2025-01-26
Fashion Scarf,Accessories,0,40,40,180,299,2025-01-26
Baseball Cap,Accessories,1,1,0,160,229,2025-01-26
Silver Anklet,Accessories,1,39,38,350,549,2025-01-26
Floral Kurti,Women's Wear,9,50,41,350,599,2025-01-27
Leggings Pack,Women's Wear,10,44,117,220,349,2025-01-27
Cotton Saree,Women's Wear,2,6,4,700,999,2025-01-27
Casual Shirt,Men's Wear,6,66,60,500,799,2025-01-27
Formal Trousers,Men's Wear,0,61,61,900,1049,2025-01-27
Graphic T-Shirt,Men's Wear,3,121,118,300,499,2025-01-27
Kids Frock,Kids Wear,1,18,17,280,449,2025-01-27
School Shorts,Kids Wear,0,0,0,180,299,2025-01-27
Kids Hoodie,Kids Wear,0,0,0,450,649,2025-01-27
Running Shoes,Footwear,1,14,13,1200,1599,2025-01-27
Casual Sandals,Footwear,3,9,6,500,699,2025-01-27
Leather Belt,Accessories,0,53,53,250,289,2025-01-27
Fashion Scarf,Accessories,1,40,39,180,299,2025-01-27
Baseball Cap,Accessories,0,0,0,160,229,2025-01-27
Silver Anklet,Accessories,2,38,36,350,549,2025-01-27
Floral Kurti,Women's Wear,8,41,139,350,599,2025-01-28
Leggings Pack,Women's Wear,13,117,104,220,349,2025-01-28
Cotton Saree,Women's Wear,3,4,1,700,999,2025-01-28
Casual Shirt,Men's Wear,5,60,55,500,799,2025-01-28
Formal Trousers,Men's Wear,0,61,61,900,1049,2025-01-28
Graphic T-Shirt,Men's Wear,3,118,115,300,499,2025-01-28
Kids Frock,Kids Wear,4,17,13,280,449,2025-01-28
School Shorts,Kids Wear,0,0,0,180,299,2025-01-28
Kids Hoodie,Kids Wear,0,0,0,450,649,2025-01-28
Running Shoes,Footwear,4,13,9,1200,1599,2025-01-28
Casual Sandals,Footwear,3,6,3,500,699,2025-01-28
Leather Belt,Accessories,0,53,53,250,289,2025-01-28
Fashion Scarf,Accessories,2,39,37,180,299,2025-01-28
Baseball Cap,Accessories,0,0,0,160,229,2025-01-28
Silver Anklet,Accessories,0,36,36,350,549,2025-01-28
Floral Kurti,Women's Wear,9,139,130,350,599,2025-01-29
Leggings Pack,Women's Wear,10,104,94,220,349,2025-01-29
Cotton Saree,Women's Wear,1,1,0,700,999,2025-01-29
Casual Shirt,Men's Wear,7,55,48,500,799,2025-01-29
Formal Trousers,Men's Wear,0,61,61,900,1049,2025-01-29
Graphic T-Shirt,Men's Wear,3,115,112,300,499,2025-01-29
Kids Frock,Kids Wear,3,13,10,280,449,2025-01-29
School Shorts,Kids Wear,0,0,0,180,299,2025-01-29
Kids Hoodie,Kids Wear,0,0,0,450,649,2025-01-29
Running Shoes,Footwear,3,9,6,1200,1599,2025-01-29
Casual Sandals,Footwear,3,3,0,500,699,2025-01-29
Leather Belt,Accessories,0,53,53,250,289,2025-01-29
Fashion Scarf,Accessories,2,37,35,180,299,2025-01-29
Baseball Cap,Accessories,0,0,0,160,229,2025-01-29
Silver Anklet,Accessories,0,36,36,350,549,2025-01-29
Floral Kurti,Women's Wear,9,130,121,350,599,2025-01-30
Leggings Pack,Women's Wear,8,94,86,220,349,2025-01-30
Cotton Saree,Women's Wear,0,0,0,700,999,2025-01-30
Casual Shirt,Men's Wear,4,48,44,500,799,2025-01-30
Formal Trousers,Men's Wear,0,61,61,900,1049,2025-01-30
Graphic T-Shirt,Men's Wear,4,112,108,300,499,2025-01-30
Kids Frock,Kids Wear,1,10,9,280,449,2025-01-30
