Product Name,Category,Opening Stock,Closing Stock,Units Sold,Purchase Price,Sale Price,Purchase Quantity,Supplier Name,Stock Status,Date
Rice,Grains,47,37,10,145,167,5,Local Traders,Healthy,2026-03-09
Bread,Bakery,47,30,17,160,199,12,City Wholesale,Healthy,2026-02-23
Sugar,Essentials,121,107,14,54,61,5,Fresh Mart Supply,Overstock,2026-03-25
Sugar,Essentials,6,2,4,126,149,49,City Wholesale,Critical,2026-03-03
Soap,Personal Care,45,36,9,138,184,7,Local Traders,Healthy,2026-03-08
Cooking Oil,Essentials,69,53,16,53,73,7,Local Traders,Healthy,2026-03-30
Milk,Dairy,64,44,20,157,202,9,City Wholesale,Healthy,2026-01-25
Tea,Beverages,4,0,4,179,208,32,Local Traders,Critical,2026-03-26
Salt,Essentials,5,1,4,140,166,54,Fresh Mart Supply,Critical,2026-02-11
Bread,Bakery,34,18,16,182,213,11,Local Traders,Healthy,2026-03-20
Cooking Oil,Essentials,1,0,1,177,235,56,Local Traders,Critical,2026-03-24
Soap,Personal Care,76,61,15,187,212,6,Fresh Mart Supply,Healthy,2026-03-24
Biscuits,Snacks,67,53,14,71,91,9,Fresh Mart Supply,Healthy,2026-03-16
Sugar,Essentials,142,135,7,150,191,1,Fresh Mart Supply,Overstock,2026-03-05
Salt,Essentials,38,29,9,183,225,1,City Wholesale,Healthy,2026-02-16
Biscuits,Snacks,14,4,10,104,115,34,Local Traders,Low,2026-03-20
Bread,Bakery,57,48,9,169,212,12,City Wholesale,Healthy,2026-01-25
Rice,Grains,70,58,12,191,219,1,Fresh Mart Supply,Healthy,2026-02-13
Tea,Beverages,55,38,17,163,226,2,City Wholesale,Healthy,2026-02-09
Biscuits,Snacks,103,88,15,167,205,2,Local Traders,Overstock,2026-02-15
Salt,Essentials,9,4,5,131,169,49,City Wholesale,Low,2026-01-15
Rice,Grains,69,63,6,122,136,3,Local Traders,Healthy,2026-02-12
Eggs,Dairy,4,2,2,83,102,22,Local Traders,Critical,2026-03-06
Eggs,Dairy,65,56,9,197,226,15,City Wholesale,Healthy,2026-03-03
Soap,Personal Care,110,107,3,128,145,0,City Wholesale,Overstock,2026-02-14
Milk,Dairy,58,46,12,162,185,7,Local Traders,Healthy,2026-01-22
Milk,Dairy,5,0,5,98,111,35,Local Traders,Critical,2026-03-29
Sugar,Essentials,53,45,8,81,102,9,Local Traders,Healthy,2026-01-09
